住所,法人名,更新日時,法人番号,法人種別,法人名(カナ),Twitter,Facebook,Instagram,創業年,紹介文,アイコン,事業概要,代表者名,取扱商品,営業品目,従業員数,採用予定,特許情報,背景画像,表彰情報,電話番号,代表の写真,取引先業種,設備と技術,設立年月日,企業規模詳細,キャッチコピー,企業紹介画像①,企業紹介画像②,企業紹介画像③,届出・認定情報,セールスポイント,企業ホームページ,店舗・事業所情報,主な商品・サービス,他社との連携を考える事業,特許,紹介の画像
大阪府堺市堺区大町東２丁２番２２号村田ビル２Ｆ,ＳＡＫＵＲＡ　ＰＲＯＤＵＣＴＩＯＮ株式会社,,1030001098781,,サクラプロダクション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区甲斐町東１－２－１７－３,雅悦貿易株式会社,,1030001148925,,ガエツボウエキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区常磐町２丁４番地１３,合同会社ファーストアンビション,2024-05-08T08:15:36+09:00,1030003009522,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区小寺４４５－２,株式会社Ｃｌｏｕｄ９,,1040001082545,,クラウドナイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区熊野町東１丁１番２号ＪＳ堺大小路ビル４階,株式会社ジャパンソーラー,2021-09-09T15:00:00.000Z,1060001027408,301,ジャパンソーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区奥本町２丁４番１号谷コンパクトオフィスＤ号室,合同会社コスモス,2023-03-30T00:00:00+09:00,1080403003533,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区竹城台２丁１０番１８号,グローバルスタージャパン株式会社,2020-04-09T15:00:00.000Z,1100001024466,301,グローバルスタージャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区西野１７５番地１９,有限会社夢山想,2015-11-19T15:00:00.000Z,1100002026981,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区竜神橋町２丁３番１－９２９号ステュディオ堺フェニックス,合同会社ゼネック,,1100003005737,,ゼネック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区南野田３６３－１,藤田木材株式会社,2021-04-19T15:00:00.000Z,1120001004235,301,フジタモクザイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区浜寺昭和町１丁１２４番地６,アトラス石油株式会社,,1120001004672,,アトラスセキユ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区戎島町２丁３０番地ターミナルマンション朝日プラザ堺４１７号,日本医薬株式会社,2020-08-04T15:00:00.000Z,1120001006231,301,ニホンイヤク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区常磐町3-21-11,株式会社ヨーケン,2022-01-04T09:18:54.586+00:00,1120001006669,,ヨーケン,,,,,,,筆記具製造、 販売,神阪　洋志,マーキングペン,,20人,,,,,072-252-2811,,,,,,,,,,,高品質の筆記具を製造。 国内外に広く販売しております。 ,,[],,,,
大阪府堺市東区野尻町２２１番地３,フエル販売株式会社,2022-12-23T08:52:26.583+00:00,1120001014614,,フエルハンバイ,,,,,,,文具、事務用品などの卸売業,,,,41,,,,,,,,,,,,,,,,,,[],,,,
大阪府堺市東区石原町２丁１１６番地,株式会社イズミヤ,2022-11-11T00:00:00+09:00,1120001019514,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区南花田町376-6,株式会社マルタケ製作所,2024-04-03T11:21:45.392+09:00,1120001021742,,,,,,1977,,,パイプ加工、 パイプ曲げ、 熔接、 プレス加工,小枝　裕幸,各種パイプ加工,E,12人,,,,,072-253-3400,,自動車関係、 農機具、 介護用品、 家具、 その他,NCパイプベンダー、 パイプベンダー、 切断機、 アングルベンダー、 端末加工機、 パワープレス（15トン～60トン）、 ボール盤、 パイプえくり加工機、 ロボット溶接機、 アルゴン溶接機、 タッピングマシーン,1987-10-01,,,,,,,各種パイプ曲げ加工承ります。（丸パイプ　10φ～76.3φ迄、 角パイプ　9角～60角迄、 平角パイプ　10×19～90×40角迄、 多角　12×25～48～26迄、 きれいな曲げができます） （鉄・ステン・アルミなど）　その他加工いろいろ溶接まで一貫して受け承ります。 ,http://www.pipe-mage.co.jp/,[],パイプ加工各種、特にパイプベンダー用曲げ金型が、大小多品種ありますので、ご要望がありましたら、お問い合わせ下さい。,,,
大阪府堺市堺区北庄町２丁１番１７号,株式会社高橋組,2021-03-14T15:00:00.000Z,1120001027698,301,タカハシグミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区北条町１丁１７番２８号,株式会社山洋,2021-12-08T07:57:21.525+00:00,1120001030792,,サンヨウ,,,,1977-07-20,,,,木寅　佳寛,,7611,,,,,,06ー6612-1050,,,,,,,,,,,,,"[{""名称"":"""",""名称(カナ)"":"""",""住所"":"""",""営業曜日"":"""",""営業開始時間"":"""",""営業終了時間"":"""",""営業日備考"":"""",""WebサイトURL"":""""}]",,,,
大阪府堺市東区大美野１３４番地７,エスピージャパン総合警備株式会社,2015-11-19T15:00:00.000Z,1120001032252,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区奥本町１丁２９０番地,株式会社高田部品商会,2022-11-04T08:01:00.989+00:00,1120001033151,,タカダブヒンショウカイ,,,,,,,,,,I,5人,,,,,,,,,,,,,,,,,,[],,,,
大阪府堺市堺区向陵中町２丁３番２０号,株式会社キリンメディカル,2021-07-15T15:00:00.000Z,1120001034769,301,キリンメディカル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区上野芝向ヶ丘町６丁３番３１－１号,株式会社エー・シー・シー,,1120001037466,,エーシーシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区竜神橋町２丁３番１号ステュディオ堺８２５,株式会社ノモト,2019-05-14T15:00:00.000Z,1120001039529,301,ノモト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区宮山台３丁１番２２－４０５号,株式会社和幸商会,,1120001040503,,ワコウショウカイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区南島町4-151-1,カワソーテクセル株式会社,2022-01-04T08:30:25.772+00:00,1120001042359,,カワソーテクセル,,,,,,,焼結技術および接合技術を活用したメタライズ製品/水冷ヒートシンク/金属接合製品、電力系資機材製品、碍子製品、セラミックス製品の開発製造販売,稲付　嘉明,水冷ヒートシンク、電流導入端子、絶縁パイプ/継手、Ｘ線透過窓、異種金属接合品、電力向けガイシ/各種電線ヒューズ/架線固定用金具類/銅加工品（コネクタ、直線スリーブ等）、鉄道向けガイシ等,,98人,,特許2件（電線ヒューズ・変圧器装柱具）,,,072-228-0260,,重電機器/真空装置/半導体製造装置/医療機器/航空・宇宙関連機器等の製造業および電力会社、電気工事会社、地下鉄、新交通システム、製鉄所、造船所、港湾施設など,＜設備＞真空炉、ガス雰囲気炉、マシニングセンタ、ＴＩＧ溶接機、スプレードライヤー、各種計測器等 ＜技術＞セラミック/非金属材料と金属、異種金属との接合技術等,,,,,,,,当社は1877年に食器製造業として創業、その後碍子の生産を経て配電資機材分野へ、またセラミックスと金属、異種金属同士の気密接合技術を活かした製品開発により真空装置関連等、機器分野にも事業展開して参りました。 当社の技術が産業界や環境に貢献できる事に喜びを感じ、パイオニア精神で製品の開発を進めています。,,[],取扱製品と重複するため、割愛,,,
大阪府堺市北区北花田町２丁６３番地２,株式会社ザ・スーパー,2023-09-26T00:00:00+09:00,1120001043489,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区出島西町２番地,株式会社ＮＳロジ大阪,2023-10-10T00:00:00+09:00,1120001049016,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区上２０６番地１,大栄通商株式会社,2020-10-11T15:00:00.000Z,1120001050023,301,ダイエイツウショウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府大阪市淀川区東三国３丁目１１番２号,株式会社トヨタレンタリース新大阪,2018-07-22T15:00:00+00:00,1120001057241,301,トヨタレンタリースシンオオサカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深阪６丁２０番２１－１,三愛美装株式会社,,1120001064493,,サンアイビソウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区東上野芝町２丁３３１番地２,株式会社スタジオブース,2018-12-24T15:00:00.000Z,1120001065491,301,スタジオブース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区甲斐町西１丁１番２８－２０５号,オフィスゼロワン株式会社,,1120001076670,,オフィスゼロワン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区南花田町４３７番地,極東金物工業株式会社,2015-11-19T15:00:00.000Z,1120001078048,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区向陵東町３丁８－１－１１１３号,小森商事株式会社,2020-04-27T15:00:00.000Z,1120001079582,301,コモリショウジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区菩提町1-163-2,株式会社コーユービジネス　堺営業所,2022-01-04T09:09:37.136+00:00,1120001079599,,コーユービジネス,,,,,,,印刷・アウトソーシング受託業務,西村　秀俊,印刷・デザイン・ホームページ制作等,,239人,,商標 1件（§アンブレリーディング\UmBRE READING）,,,072-285-2411,,全業種、 官公庁,オフセット輪転機・枚葉機、高速プリンター、 封入封緘機・インサータ・DMはがき加工機等,,,,,,,,プライバシーマーク、 ISO9001、 ISO／IEC27001　取得企業,https://www.koyu.co.jp/,[],印刷物全般、 封入封緘・データプリント・発送代行等印刷事後処理業務及び、各種事務局代行、窓口代行業務,,,
大阪府堺市北区北花田町２丁１７７番地の２,ジー・アンド・ジーファルマ株式会社,,1120001080706,,ジーアンドジーファルマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区南花田町１１１番地１４,船場土地株式会社,2019-07-24T15:00:00.000Z,1120001082834,301,センバトチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区堀上緑町２丁１５番１８号,株式会社マーケティングスペース,2018-11-15T15:00:00.000Z,1120001089573,301,マーケティングスペース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区大美野２４番地３９,株式会社ワイ・イー・アール,2021-07-13T15:00:00.000Z,1120001095670,301,ワイイーアール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区浜寺石津町中４丁７番１号,株式会社エード・ライフ,2023-05-22T00:00:00+09:00,1120001099110,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区長曽根町９番地ライオンズマンションなかもず駅前４０５号,株式会社斉藤ＧＨプロポーション,2015-11-19T15:00:00.000Z,1120001112723,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区和田東９３４番地１,株式会社江備,2015-11-19T15:00:00.000Z,1120001115288,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深阪４丁１２番１５号,青柳建設株式会社,2020-07-01T15:00:00.000Z,1120001118357,301,アオヤギケンセツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区北清水町１丁２番３０号,株式会社アクト,2022-09-30T08:35:41.060+00:00,1120001118687,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,http://www.acto.co.jp/,[],,,,
大阪府堺市西区浜寺船尾町西２丁７３番地７０,株式会社ＳＥＲ,2020-06-21T15:00:00.000Z,1120001121088,301,エスイーアール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区竜神橋町１丁６番６号トップサインビル,株式会社Ｔｏｐ　Ｓｉｇｎ,2015-11-19T15:00:00.000Z,1120001121204,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深阪２丁１０番８－１０５号,株式会社Ｈ＆Ｓ,2019-04-09T15:00:00.000Z,1120001129577,301,エイチアンドエス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区桃山台１丁１４番１７号,フリード情報システムズ株式会社,2023-05-25T00:00:00+09:00,1120001133876,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区大浜中町２丁８番１６号ＪＳＰビル３０１号,株式会社ワイラ,2015-11-19T15:00:00.000Z,1120001135542,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深阪６丁１８－２８,株式会社システムフクガミ,2019-05-22T15:00:00.000Z,1120001136862,301,システムフクガミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区深井清水町３９８０番地,株式会社かいのホールディングス,2023-03-16T09:07:56.877+00:00,1120001137489,,カイノホールディングス,,,,,,,,會野　登志美,,5523,,予定有り,商標 3件（KAINO / LE PONT DE KAINO / KAINO arms）,,,072-277-8877,,,,1993-06-04,,,,,,,,,[],,,,
大阪府堺市堺区老松町３丁７３番地８,株式会社プレスト,2015-11-19T15:00:00.000Z,1120001138198,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区小平尾７５０番地,清水鉄筋工業株式会社,2019-06-30T15:00:00.000Z,1120001139064,301,シミズテッキンコウギョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区上野芝町１丁２１番２２号,美吉野化工株式会社,2021-07-05T15:00:00.000Z,1120001140468,301,ミヨシノカコウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区北向陽町１丁１番３号,株式会社フォト匠,2017-03-23T15:00:00.000Z,1120001141086,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区草尾１１６７番地６,株式会社オリジンライフサポート,2020-05-31T15:00:00.000Z,1120001143586,301,オリジンライフサポート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市南区大庭寺６１７－１,株式会社インフィニティ,2022-09-13T05:32:06.759+00:00,1120001143735,,インフィニティ,,,,,,,（株）インフィニティは美味しいコーヒーをお届けする、買い付けから焙煎・卸売り・小売り・カフェ経営まで手掛けるコーヒー専門会社です。,丹後　大志,コーヒー生豆・焙煎コーヒー豆・焙煎コーヒー豆OEM・業務用食品・コーヒー関連器具及び資材・焙煎機,,,,,,,0722911877,,カフェ・レストラン・自家焙煎コーヒー店,,2010-04-13,,コーヒーの無限の可能性を求めて,,,,有機JAS認定　加工・小分け,【SDGsについて、現在取り組んでいること】我々の取組みは、コーヒーが現在と未来に対する生態系とどのように相互作用するかを理解する事です。現地農園へ日本のお客様からの古着の寄付、コーヒー以外の食物を栽培し現地施設内において従業員に共有、健康の為の協力、教育への支援、水、光発電やその他の取組みに置いて、日本での販売数量や売上の一部を毎年現地へ定額金を寄付。【今後取り組みたいこと】人から人へ無限に広がる珈琲の世界。製造、販売、現地生産者として、未来へのＳＤＧｓ政策推進の一助となる事を目指します。,https://www.cafe-infinity.com,[],,,,
大阪府堺市中区深井畑山町２６４２番地１,株式会社ＲＩＲＯＰＲＯ,2021-07-05T15:00:00.000Z,1120001144601,301,リロプロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区翁橋町１丁５番１８号,株式会社裕新,2015-11-19T15:00:00.000Z,1120001144774,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区老松町３丁７３番１３号,西岳電管工業株式会社,2020-01-26T15:00:00.000Z,1120001148387,301,ニシダケデンカンコウギョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区多治井３５４番地１,株式会社角森商事,2019-12-25T15:00:00.000Z,1120001156002,301,ツノモリショウジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区北花田町４丁１２０番８号,株式会社司観光サービス,,1120001156687,,ツカサカンコウサービス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区太井４３７番地,株式会社楽萬,2023-10-19T00:00:00+09:00,1120001161316,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区百舌鳥梅町２丁６２１番地,株式会社天王寺指導会,2018-04-10T15:00:00.000Z,1120001162495,301,テンノウジシドウカイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市西区山田１丁２０６６番地１,株式会社ハイブリッドセオリー,2020-10-07T15:00:00.000Z,1120001163279,301,ハイブリッドセオリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区築港八幡町１番地１７１,ＳＥＥＤ　ＴＲＡＮＳＰＯＲＴ株式会社,2020-04-13T15:00:00.000Z,1120001164062,301,シードトランスポート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区寺地町東１丁１番１６号,株式会社アクシス,2022-10-06T08:49:01.521+00:00,1120001165028,,アクシス,,,,,,,,,,D,,,,,,,,,,,,,,,,,,https://www.axis-tps.com/,[],,,,
大阪府堺市南区赤坂台６丁２０番１１号,ＴＨＥＲＭＡＧＹ株式会社,2021-02-07T15:00:00.000Z,1120001165944,301,サーマジイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区八田北町１０番地３１、４棟１０１号,株式会社ＧＩＣ　Ｊａｐａｎ,2021-05-24T15:00:00.000Z,1120001166158,301,ジーアイシージャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区宿院町西４丁２番９フォルテ宿院４０２,株式会社フォルテ,2021-03-09T15:00:00.000Z,1120001168113,301,フォルテ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区新家町５４５番地２,株式会社メトロスカイホールディングス,2016-02-17T15:00:00.000Z,1120001170408,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府大阪市淀川区十三元今里２丁目１２番６号,株式会社グランドライフ,2023-01-04T06:19:43.774+00:00,1120001171884,,グランドライフ,,,,,,,,光野　有二朗,,8546,,予定有り,,,,06-6776-8534,,,,2012-07-12,,,,,,,,http://grandlife-net.com,"[{""名称"":""サービス付き高齢者向け住宅　グランドライフ堺"",""名称(カナ)"":""サービスツキコウレイシャムケジュウタク　グランドライフサカイ"",""住所"":""大阪府堺市中区八田西町3-7-46"",""営業曜日"":"""",""営業開始時間"":"""",""営業終了時間"":"""",""営業日備考"":"""",""WebサイトURL"":""http://grandlife-net.com""},{""名称"":""サービス付き高齢者向け住宅　グランドライフ堺Ⅱ番館"",""名称(カナ)"":""サービスツキコウレイシャムケジュウタク　グランドライフサカイニバンカン"",""住所"":""大阪府堺市中区八田北町811-1"",""営業曜日"":"""",""営業開始時間"":"""",""営業終了時間"":"""",""営業日備考"":"""",""WebサイトURL"":""http://grandlife-net.com""}]",,,,
大阪府堺市美原区今井５０番地１,株式会社エヴォテック,2023-11-16T00:00:00+09:00,1120001173088,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区金岡町２５５１－１,明和通建株式会社,2018-05-24T15:00:00.000Z,1120001174524,301,メイワツウケン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区北旅籠町東１丁１番１０号,株式会社ＭＥＴＡＰＨ,2023-03-17T00:00:00+09:00,1120001176066,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区新町５番２４号ウィークリービルド３０１号室,アンド・ケイ株式会社,2023-02-16T00:00:00+09:00,1120001177287,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区百舌鳥本町３丁５３８番地１,ベストベネ株式会社,2016-09-20T15:00:00.000Z,1120001177634,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市東区石原町２丁２６４番地１,ＫＯＭＳマシニング株式会社,2022-04-25T21:55:00+09:00,1120001181108,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市中区福田１９番２号,株式会社エム・ワイ・ティ・ジャパン,2020-02-13T15:00:00.000Z,1120001181421,301,エムワイティジャパン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区長曽根町３０６９－９カルム新金岡３０５号,株式会社持統,2015-11-19T15:00:00.000Z,1120001182139,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区中瓦町１丁１番２１号,株式会社ＭｏｎＲｅｖｅ,2019-12-12T15:00:00.000Z,1120001184127,301,モンレーヴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区大浜南町３丁１－６３－４１５,鴻馬商事株式会社,2017-04-17T15:00:00.000Z,1120001185736,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区南陵町１丁２番２号,株式会社棟梁フードサービス,2019-07-30T15:00:00.000Z,1120001186172,301,トウリョウフードサービス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区甲斐町西２丁２番２７号,株式会社ワンモアステップ,2023-07-20T00:00:00+09:00,1120001186536,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市美原区菅生５３１番地２,メタルバンク株式会社,2016-02-29T15:00:00.000Z,1120001187344,301,,,,,,,,,,,,,,商標 1件（共有オーダー）,,,,,,,,,,,,,,,,,,,,
大阪府堺市堺区柏木町４丁２－２４－１０１,株式会社驕緣国際商務,2015-11-19T15:00:00.000Z,1120001188986,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府堺市北区常磐町２丁８番地２,アーステクノ株式会社,2022-10-26T00:00:00+09:00,1120001189241,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
